STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WESD,WESF,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/6/2000,,,0,0,6,20,30,9,,0.6,,1,1,,,,,,1,,,1,,,,,1,,,1
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/7/2000,,,0,0,5,28,37,18,,0.5,,1,,,,,,,1,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/8/2000,,,0,0,4,23,32,13,,0.4,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/9/2000,,,0,0,4,33,41,25,,0.3,,1,,,,,,,1,,,1,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/10/2000,,,0.18,0,3,35,39,31,,2,,1,1,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/11/2000,,,0,0,1,30,36,23,,0,,1,,,,,1,,,,,1,,1,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/12/2000,,,0,0,0,23,30,15,,0,,,,,,,,,,,,,,,,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/13/2000,,,0.04,0,0,28,32,23,,0,,1,,,1,,1,,,,,1,1,1,1,1,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/14/2000,,,0.01,0.5,1,28,31,25,,0,,1,,,,,1,,,,,1,,1,1,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/15/2000,,,0,0,0,29,38,19,,0,,1,,,,,,,,,,1,,,1,,,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/16/2000,,,0,0,0,32,41,23,,0,,1,,,,,,,,,,1,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/17/2000,,,0,0,0,25,34,15,,0,,,,,,,,,,,,,,,,,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/18/2000,,,0.52,0.2,0,29,31,27,,0,,1,,,1,,1,,,,,1,,1,1,1,1,,,
USW00014827,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",2/19/2000,,,0.02,0.2,0,28,30,26,,0,,1,,,,,,,,,,1,,,,,1,,,
